case,clip,frame,wkt_geoms
Case-001,1,0,"['LINESTRING (31.55080213903743 28.21161774911214, 17.78074866310161 85.15736620810711)']"
Case-001,1,4,"['LINESTRING (32.35294117647059 28.10956443646161, 17.58021390374332 88.42307221292404)']"
Case-001,1,8,"['LINESTRING (32.82085561497326 27.49724456055843, 18.85026737967915 87.7086990243703)']"
Case-001,1,12,"['LINESTRING (31.55080213903743 29.02804425031637, 18.71657754010695 87.9128056496714)']"
Case-001,1,32,"['LINESTRING (32.62032085561498 28.41572437441319, 20.12032085561497 87.7086990243703)']"
Case-001,1,36,"['LINESTRING (32.48663101604279 28.82393762501531, 19.6524064171123 89.4436053394293)']"
Case-001,1,40,"['LINESTRING (32.4197860962567 27.29313793525738, 18.24866310160428 86.07584602196188)']"
Case-001,1,60,"['LINESTRING (32.62032085561498 28.41572437441319, 20.12032085561497 91.58672490509045)']"
Case-001,1,64,"['LINESTRING (32.82085561497326 28.92599093766584, 20.18716577540107 89.7497652773809)']"
Case-001,3,0,"['LINESTRING (38.50267379679143 41.07033514307874, 35.22727272727273 96.38323059966524)', 'LINESTRING (45.12032085561497 31.68143037923011, 51.93850267379678 95.56680409846103)']"
Case-001,3,4,"['LINESTRING (38.63636363636363 40.25390864187452, 35.16042780748664 96.48528391231578)']"
Case-001,3,8,"['LINESTRING (44.38502673796791 33.31428338163857, 45.25401069518718 99.13867004122953)']"
Case-001,3,12,"['LINESTRING (42.98128342245988 33.92660325754174, 41.3770053475936 98.22019022737477)']"
Case-001,3,20,"['LINESTRING (36.96524064171123 42.49908152018615, 33.75668449197862 99.85304322978321)']"
Case-001,3,28,"['LINESTRING (36.49732620320857 43.21345470873986, 32.88770053475936 97.19965710086947)']"
Case-001,3,32,"['LINESTRING (36.96524064171123 42.7031881454872, 33.68983957219251 94.64832428460628)']"
Case-001,3,36,"['LINESTRING (36.29679144385026 41.98881495693351, 30.54812834224598 95.05653753520838)', 'LINESTRING (43.78342245989306 33.11017675633751, 44.11764705882354 97.60787035147158)']"
Case-001,3,40,"['LINESTRING (42.24598930481282 33.62044331959015, 39.97326203208556 96.48528391231578)']"
Case-001,3,48,"['LINESTRING (36.22994652406417 43.00934808343879, 33.15508021390374 96.28117728701473)']"
Case-001,3,52,"['LINESTRING (37.70053475935829 42.39702820753562, 33.82352941176471 96.38323059966524)']"
Case-001,3,56,"['LINESTRING (35.62834224598931 43.00934808343879, 31.01604278074867 96.1791239743642)']"
Case-001,3,60,"['LINESTRING (35.49465240641711 43.82577458464302, 28.74331550802139 94.44421765930522)', 'LINESTRING (43.44919786096257 33.11017675633751, 44.85294117647059 97.70992366412214)']"
Case-001,3,64,"['LINESTRING (34.55882352941175 44.43809446054619, 29.21122994652406 97.40376372617054)', 'LINESTRING (44.6524064171123 32.39580356778381, 43.85026737967914 95.97501734906315)']"
Case-001,3,68,"['LINESTRING (34.89304812834224 43.82577458464302, 28.27540106951873 97.70992366412214)', 'LINESTRING (43.58288770053475 33.51839000693964, 42.11229946524064 98.52635016532636)']"
Case-001,3,72,"['LINESTRING (35.02673796791444 43.51961464669142, 30.74866310160428 98.22019022737477)']"
Case-001,3,76,"['LINESTRING (35.62834224598931 43.41756133404092, 29.81283422459894 98.52635016532636)']"
Case-001,3,84,"['LINESTRING (35.96256684491978 41.98881495693351, 30.41443850267379 96.38323059966524)']"
Case-001,3,92,"['LINESTRING (40.84224598930481 33.31428338163857, 40.30748663101603 98.3222435400253)']"
Case-001,4,0,"['LINESTRING (33.28877005347594 44.02988120994408, 26.13636363636364 95.15859084785895)', 'LINESTRING (36.49732620320857 40.45801526717557, 30.68181818181819 96.48528391231578)']"
Case-001,4,4,"['LINESTRING (31.55080213903743 44.23398783524514, 24.9331550802139 95.77091072376209)', 'LINESTRING (35.82887700534759 41.07033514307874, 29.67914438502674 96.89349716291788)']"
Case-001,4,8,"['LINESTRING (31.95187165775402 45.45862758705147, 24.19786096256684 96.48528391231578)', 'LINESTRING (34.89304812834224 43.1114013960893, 28.6096256684492 96.28117728701473)']"
