case,clip,frame,split,top_points
Case-003,009,012,0,"[(217.4123802562228, 45.35046615114326)]"
Case-003,009,020,0,"[(209.27070108618986, 46.66364021082599)]"
Case-003,009,024,0,"[(207.16962259069751, 43.512022467587435), (220.82663281139793, 46.92627502276251)]"
Case-003,009,028,0,"[(210.5838751458725, 46.66364021082599), (223.97825055463645, 47.714179458572204)]"
Case-003,009,052,0,"[(219.51345875171523, 46.40100539888943), (205.33117890714163, 45.35046615114326)]"
Case-003,010,000,0,"[(194.30051680580667, 62.94699855089192)]"
Case-003,010,004,0,"[(193.5126123699971, 61.89645930314571)]"
Case-003,010,008,0,"[(196.13896048936252, 62.421728927018776)]"
Case-003,010,012,0,"[(195.08842124161637, 61.89645930314571)]"
Case-003,010,016,0,"[(197.1894997371088, 64.26017261057461)]"
Case-003,010,052,0,"[(195.87632567742597, 63.20963336282846)]"
Case-003,010,056,0,"[(195.61369086548942, 62.94699855089192)]"
Case-003,010,060,0,"[(194.30051680580667, 62.68436373895538)]"
Case-003,010,064,0,"[(194.03788199387017, 63.47226817476498)]"
Case-003,010,068,0,"[(193.5126123699971, 64.26017261057461)]"
Case-003,010,092,0,"[(195.08842124161637, 64.26017261057461)]"
Case-003,010,100,0,"[(194.03788199387017, 63.99753779863809)]"
Case-003,012,000,0,"[(157.26900832275348, 73.45239102835379), (165.67332230472306, 100.24114184588157)]"
Case-003,012,004,0,"[(152.01631208402262, 76.6040087715924)]"
Case-003,012,008,0,"[(157.79427794662664, 75.55346952384613)]"
Case-003,012,012,0,"[(157.006373510817, 77.91718283127507)]"
Case-003,012,016,0,"[(159.63272163018252, 87.37203606099081)]"
Case-003,012,020,0,"[(169.35020967183473, 99.19060259813533)]"
Case-003,012,036,0,"[(169.35020967183473, 102.60485515331052)]"
Case-003,012,040,0,"[(159.89535644211904, 83.95778350581567), (167.51176598827888, 103.13012477718361)]"
Case-003,012,044,0,"[(159.10745200630942, 83.95778350581567)]"
Case-003,012,048,0,"[(152.2789468959592, 85.7962271893715)]"
Case-003,012,052,0,"[(154.11739057951502, 84.22041831775225)]"
Case-003,012,056,0,"[(158.58218238243626, 83.43251388194257), (170.40074891958093, 98.66533297426231)]"
Case-003,012,060,0,"[(175.65344515831185, 99.45323741007195)]"
Case-003,012,076,0,"[(171.45128816732714, 101.55431590556431)]"
Case-003,012,080,0,"[(160.42062606599214, 84.22041831775225)]"
Case-003,012,084,0,"[(160.68326087792866, 86.05886200130804), (171.18865335539056, 101.29168109362779)]"
Case-003,012,088,0,"[(160.1579912540556, 82.11933982225986)]"
Case-003,012,092,0,"[(157.26900832275348, 81.59407019838672)]"
Case-003,012,096,0,"[(155.6931994511343, 80.28089613870401)]"
Case-003,012,100,0,"[(159.63272163018252, 71.35131253286139), (173.2897318508829, 100.24114184588157)]"
Case-003,017,004,0,"[(143.27609663956713, 46.70228325654408)]"
Case-003,017,008,0,"[(143.53747782471635, 46.96366444169337)]"
Case-003,017,048,0,"[(198.42752670606103, 48.270570367439674)]"
Case-003,017,052,0,"[(202.34824448330002, 49.3160951080367)]"
Case-003,017,064,0,"[(174.1190764871798, 46.70228325654408)]"
Case-003,017,068,0,"[(170.7211210802394, 47.747807997141166)]"
Case-003,017,092,0,"[(164.97073500695575, 45.918139701096315)]"
Case-003,017,096,0,"[(192.41575944762803, 46.440902071394845)]"
Case-003,017,100,0,"[(175.16460122777687, 45.39537733079779)]"
Case-003,019,012,0,"[(185.88122981889654, 46.96366444169337)]"
Case-003,019,016,0,"[(185.09708626344874, 46.70228325654408), (191.63161589218024, 47.225045626842615)]"
Case-003,019,020,0,"[(184.312942708001, 46.440902071394845), (193.46128418822505, 46.440902071394845)]"
Case-003,019,024,0,"[(188.75642285553843, 46.96366444169337)]"
Case-003,019,028,0,"[(187.44951692979214, 47.747807997141166)]"
Case-003,019,056,0,"[(188.2336604852399, 47.225045626842615)]"
Case-003,019,060,0,"[(189.27918522583684, 44.87261496049925)]"
Case-003,019,064,0,"[(189.01780404068768, 47.747807997141166), (196.07509603971775, 44.87261496049925)]"
Case-003,019,068,0,"[(196.07509603971775, 47.225045626842615)]"
Case-003,019,072,0,"[(189.27918522583684, 47.747807997141166)]"
Case-003,019,104,0,"[(193.72266537337438, 46.17952088624557)]"
Case-003,019,116,0,"[(195.81371485456845, 46.70228325654408)]"
Case-016,014,000,0,"[(166.4720998217469, 60.917960784313735), (219.625183600713, 66.17485918003565)]"
Case-016,014,004,0,"[(166.18004991087346, 58.289511586452775), (217.2887843137255, 68.80330837789661)]"
Case-016,014,008,0,"[(169.10054901960783, 59.16566131907308), (219.625183600713, 67.05100891265597)]"
Case-016,014,012,0,"[(171.43694830659538, 59.16566131907308), (217.2887843137255, 70.2635579322638)]"
Case-016,014,016,0,"[(169.97669875222812, 58.581561497326184), (217.2887843137255, 69.6794581105169)]"
Case-016,014,020,0,"[(167.64029946524067, 59.16566131907308), (215.2444349376114, 69.09535828877002)]"
Case-016,014,024,0,"[(170.56079857397503, 58.289511586452775), (210.8636862745098, 65.59075935828878)]"
Case-016,014,028,0,"[(172.02104812834222, 62.37821033868091), (213.20008556149733, 68.21920855614971)]"
Case-016,014,032,0,"[(170.85284848484847, 63.54640998217467), (214.07623529411762, 68.80330837789661)]"
Case-016,014,036,0,"[(170.26874866310152, 59.45771122994653), (214.07623529411762, 69.97150802139038)]"
Case-016,014,040,0,"[(172.02104812834222, 64.42255971479499), (213.20008556149733, 67.05100891265597)]"
Case-016,014,044,0,"[(170.85284848484847, 59.45771122994653), (215.82853475935823, 69.09535828877002)]"
Case-016,014,048,0,"[(176.10974688057036, 59.16566131907308), (214.66033511586448, 69.6794581105169)]"
Case-016,014,052,0,"[(172.3130980392157, 58.289511586452775), (217.2887843137255, 70.2635579322638)]"
Case-016,014,056,0,"[(167.93234937611405, 62.08616042780747), (220.50133333333332, 68.80330837789661)]"
Case-016,014,060,0,"[(170.85284848484847, 56.24516221033866), (219.33313368983954, 68.5112584670232)]"
Case-016,014,064,0,"[(171.43694830659538, 66.75895900178254), (217.2887843137255, 68.21920855614971)]"
Case-016,014,068,0,"[(168.80849910873445, 60.333860962566824), (215.2444349376114, 69.09535828877002)]"
Case-016,014,072,0,"[(168.80849910873445, 59.74976114081995), (215.2444349376114, 69.09535828877002)]"
Case-016,014,076,0,"[(168.516449197861, 61.21001069518717), (212.61598573975047, 72.30790730837789)]"
Case-016,014,080,0,"[(170.85284848484847, 62.962310160427776), (213.78418538324422, 67.9271586452763)]"
Case-016,014,084,0,"[(169.68464884135474, 57.413361853832455), (218.45698395721925, 71.72380748663102)]"
Case-016,014,088,0,"[(172.02104812834222, 61.21001069518717), (217.58083422459882, 70.84765775401075)]"
Case-016,014,092,0,"[(170.56079857397503, 59.45771122994653), (216.7046844919786, 69.97150802139038)]"
Case-016,014,096,0,"[(168.2243992869875, 57.705411764705865), (220.50133333333332, 65.59075935828878)]"
Case-016,014,100,0,"[(169.68464884135474, 58.289511586452775), (224.5900320855615, 68.80330837789661)]"
Case-016,014,104,0,"[(169.68464884135474, 61.79411051693403), (220.79338324420672, 69.97150802139038)]"
Case-016,014,108,0,"[(173.189247771836, 62.67026024955435), (219.33313368983954, 67.63510873440288)]"
Case-016,014,112,0,"[(170.26874866310152, 60.333860962566824), (218.74903386809265, 70.2635579322638)]"
Case-016,014,116,0,"[(169.97669875222812, 62.08616042780747), (217.2887843137255, 68.5112584670232)]"
Case-016,014,120,0,"[(169.68464884135474, 60.62591087344027), (219.04108377896605, 69.3874081996435)]"
Case-016,014,124,0,"[(164.71980035650617, 57.705411764705865), (218.16493404634582, 69.3874081996435)]"
Case-016,014,128,0,"[(167.93234937611405, 61.502060606060574)]"
Case-016,014,132,0,"[(167.34824955436721, 65.00665953654186), (212.61598573975047, 69.3874081996435)]"
Case-016,014,136,0,"[(164.4277504456328, 62.67026024955435), (212.90803565062387, 68.5112584670232)]"
Case-016,014,144,0,"[(165.3039001782531, 65.59075935828878), (211.7398360071301, 69.3874081996435)]"
Case-016,014,148,0,"[(171.43694830659538, 65.59075935828878), (211.4477860962567, 67.63510873440288)]"
Case-016,014,152,0,"[(171.14489839572195, 56.53721212121209), (211.4477860962567, 69.09535828877002)]"
Case-016,014,156,0,"[(170.85284848484847, 59.74976114081995), (213.20008556149733, 69.97150802139038)]"
Case-016,017,000,0,"[(122.3725632798574, 82.5296541889483), (200.93398930481285, 82.82170409982177)]"
Case-016,017,004,0,"[(120.03616399286987, 79.60915508021391), (202.68628877005344, 83.98990374331547)]"
Case-016,017,008,0,"[(119.16001426024955, 82.23760427807484), (201.81013903743315, 83.40580392156865)]"
Case-016,017,012,0,"[(120.62026381461676, 78.73300534759359), (205.3147379679146, 83.40580392156865)]"
Case-016,017,016,0,"[(122.95666310160428, 81.06940463458112), (202.9783386809269, 83.69785383244208)]"
Case-016,017,020,0,"[(122.95666310160428, 78.73300534759359), (206.19088770053472, 81.36145454545455)]"
Case-016,017,024,0,"[(119.45206417112297, 76.98070588235296), (204.14653832442073, 83.40580392156865)]"
Case-016,017,028,0,"[(117.69976470588234, 80.4853048128342), (200.0578395721925, 82.23760427807484)]"
Case-016,017,032,0,"[(120.9123137254902, 81.36145454545455), (201.51808912655966, 81.36145454545455)]"
